,accuracy,accuracy,accuracy,exact_match_rate,exact_match_rate,exact_match_rate,macro_f1,macro_f1,macro_f1,weighted_f1,weighted_f1,weighted_f1
dataset,challenge_gold_100,challenge_gold_filtered_99,internal_test_250,challenge_gold_100,challenge_gold_filtered_99,internal_test_250,challenge_gold_100,challenge_gold_filtered_99,internal_test_250,challenge_gold_100,challenge_gold_filtered_99,internal_test_250
model,,,,,,,,,,,,
BERTurk,0.8848684210526315,0.8838495575221239,0.9620034542314335,0.6,0.5959595959595959,0.824,0.8280948408865846,0.8263004035826549,0.9624039455077547,0.883486519994078,0.8823892827211492,0.961612922520556
BiLSTM-CRF,0.7587719298245614,0.7599557522123894,0.9107656879677605,0.3,0.30303030303030304,0.672,0.6949098402771149,0.6980757078292754,0.9122731397198092,0.7574517907631237,0.7587900876717107,0.9093440446222355
XLM-RoBERTa-base,0.8355263157894737,0.834070796460177,0.953943580886586,0.51,0.5050505050505051,0.788,0.7852725165411956,0.7817705329493247,0.9421267397031355,0.8335192794269372,0.8320095980179717,0.9533667764903334
mBERT,0.8421052631578947,0.8407079646017699,0.9499136442141624,0.52,0.5151515151515151,0.804,0.7872769705779662,0.7852534783123739,0.9489233421521988,0.8399997346396217,0.8385272877581071,0.949959759986804
