model,normalized,records_gold,records_evaluated,tokens_evaluated,boundary_accuracy,boundary_macro_f1,boundary_weighted_f1,boundary_cohen_kappa,task_accuracy,task_macro_f1,task_weighted_f1,task_cohen_kappa,task_no_o_accuracy,task_no_o_macro_f1,task_no_o_cohen_kappa,task_exact_match_count,task_exact_match_rate,boundary_exact_match_count,boundary_exact_match_rate,both_exact_match_count,both_exact_match_rate,invalid_boundary_token_count,invalid_task_token_count,invalid_boundary_labels,invalid_task_labels,missing_id_count,length_error_count
ChatGPT,False,200,200,1706,0.9601406799531067,0.952148005314915,0.9596905648159529,0.9345770358673584,0.9419695193434936,0.9384293771523882,0.942578027520926,0.9372377380702873,0.9566473988439307,0.9189984018649427,0.9537138968116433,165,0.825,175,0.875,165,0.825,0,0,{},{},0,0
Gemini,False,200,200,1706,0.9507620164126612,0.9432790655893073,0.9513060333864822,0.9207901966094949,0.9138335287221571,0.8581126701681984,0.9057859366227368,0.9062163782339068,0.9024566473988439,0.8339743624516434,0.895909587749822,136,0.68,158,0.79,135,0.675,0,7,{},{'GÖSTER': 7},0,0
DeepSeek,False,200,186,1594,0.8682559598494354,0.8510515889445084,0.8679483253194987,0.7844396519248391,0.8067754077791719,0.5625003521609757,0.8031668835776219,0.7914007048881165,0.8155265180630284,0.5593479219529046,0.8035946012418125,80,0.43010752688172044,97,0.521505376344086,76,0.40860215053763443,0,99,{},"{'DÖN': 6, 'DÜZELT': 2, 'OLUŞTUR': 35, 'ÇIKAR': 2, 'YAP': 21, 'YENİLE': 8, 'GÖSTER': 9, 'BIRAK': 1, 'GETİR': 3, 'ÇİZ': 2, 'GÖTÜR': 4, 'EKLE': 6}",0,14
ChatGPT,True,200,200,1706,0.9601406799531067,0.952148005314915,0.9596905648159529,0.9345770358673584,0.9419695193434936,0.9384293771523882,0.942578027520926,0.9372377380702873,0.9566473988439307,0.9189984018649427,0.9537138968116433,165,0.825,175,0.875,165,0.825,0,0,{},{},0,0
Gemini,True,200,200,1706,0.9507620164126612,0.9432790655893073,0.9513060333864822,0.9207901966094949,0.9167643610785463,0.8923359347408331,0.9081709459491911,0.9094027399227508,0.9060693641618497,0.8692144149023311,0.8997605998764279,137,0.685,158,0.79,136,0.68,0,0,{},{},0,0
DeepSeek,True,200,186,1594,0.8682559598494354,0.8510515889445084,0.8679483253194987,0.7844396519248391,0.8331242158092849,0.7280533960562103,0.8191060505955197,0.8195752228054767,0.8478093774019985,0.7249010398496569,0.8376134539810859,85,0.45698924731182794,97,0.521505376344086,81,0.43548387096774194,0,5,{},"{'DÜZELT': 2, 'BIRAK': 1, 'ÇİZ': 2}",0,14
