model_a,model_b,normalized,common_tokens,boundary_accuracy,boundary_cohen_kappa,task_accuracy,task_cohen_kappa
ChatGPT,Gemini,False,1706,0.932590855803048,0.8906844106463878,0.9109026963657679,0.9032223632953182
ChatGPT,DeepSeek,False,1594,0.8927227101631117,0.8226857667360336,0.842534504391468,0.8301511130129717
DeepSeek,Gemini,False,1594,0.8745294855708908,0.7968278893871888,0.8488080301129235,0.8359522060707514
ChatGPT,Gemini,True,1706,0.932590855803048,0.8906844106463878,0.9138335287221571,0.9063982577181258
ChatGPT,DeepSeek,True,1594,0.8927227101631117,0.8226857667360336,0.8732747804265998,0.8631001073131077
DeepSeek,Gemini,True,1594,0.8745294855708908,0.7968278893871888,0.8764115432873275,0.8656999901205338
